GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2698.7,2920.2,3394.3,3803.0,3934.4,3984.6,4600.3,4485.4,4117.9,4326.2,5085.7,4794.3,4906.6,5257.6,5090.0,5083.2,5191.2
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",1545.8,1622.0,1955.5,2222.8,2252.8,2155.8,2676.3,2536.5,2276.3,2445.8,3114.8,2854.3,2815.4,3045.2,2894.7,2860.7,2921.5
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),597.9,780.6,712.8,475.4,926.7,(D),(D),580.5,1188.2,878.6,781.7,927.2,658.9,(D),(D)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",328.5,286.5,478.9,659.2,604.0,337.3,778.7,511.4,170.0,441.9,1067.7,742.0,649.8,775.4,475.8,432.8,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),119.0,121.4,108.8,138.1,148.0,(D),(D),138.5,120.5,136.7,131.9,151.8,183.0,(D),(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(L),(L),1.2,1.4,3.3,1.2,(D),(D),0.6,2.2,2.2,2.3,1.2,0.5,(D),(D)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.1,(L),(L),1.2,1.4,3.2,1.1,(D),(D),0.6,2.1,2.1,2.3,1.2,0.5,0.2,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",0.0,0.0,0.0,0.0,(L),0.1,(L),0.2,0.0,(L),(L),(L),0.0,(L),0.0,0.0,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),0.0,0.0,(L),(L),(L),(L),(L),0.0,(L),0.1,(L),(L),(L),(L),(D),(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",19.1,28.3,32.4,36.7,31.8,35.3,34.9,38.5,39.5,38.6,39.3,31.1,29.4,32.5,34.0,34.8,33.4
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",63.3,(D),81.4,82.0,96.5,100.1,103.9,112.1,111.4,113.0,114.6,88.7,94.6,95.9,115.1,110.7,98.8
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",254.4,283.8,319.1,336.4,360.7,397.9,426.8,444.8,508.7,452.9,448.5,481.6,506.9,547.0,624.6,570.9,555.8
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",15.8,22.8,31.8,41.4,40.5,42.6,43.9,41.9,34.9,30.6,32.6,(D),38.6,40.2,47.7,47.5,41.7
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),(L),(L),0.0,0.0,(D),(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),5.9,(D),(D),(D),(D),7.0,5.5,6.1,6.1,(D),7.0,7.2,8.3,8.6,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),3.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.8,(D),(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",3.5,1.8,2.4,3.7,4.4,4.2,4.9,4.3,3.8,3.1,3.0,(D),3.2,4.0,3.7,6.6,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",1.5,4.4,7.8,8.6,11.1,12.9,13.4,13.1,11.1,9.4,10.9,(D),14.5,14.9,9.7,8.5,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),0.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.9,1.8,2.4,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(L),(L),(L),(L),(L),(L),(L),0.0,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),0.1,(D),(D),(D),0.9,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",2.2,2.4,2.7,2.7,3.3,3.4,3.2,2.9,2.2,2.1,2.5,(D),2.0,(D),(D),(D),(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",1.9,2.3,2.1,1.6,1.4,1.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",238.6,261.0,287.4,295.0,320.2,355.3,382.9,402.9,473.8,422.3,415.9,(D),468.3,506.9,576.9,523.4,514.0
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",179.5,215.6,230.8,241.4,(D),284.8,316.2,372.7,451.5,404.1,398.5,(D),444.7,483.0,543.6,486.1,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),3.0,2.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),0.7,0.4,0.3,(D),(D),(D),(D),(D),(D),(D),1.5,1.2,0.2,(L),(L),(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),10.0,(D),(D),(D),(D),(D),(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.8,0.7,0.8,0.8,(D),0.6,0.8,1.0,1.4,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",(L),(D),(D),(D),(D),(D),(D),0.1,(L),(L),(L),(L),(L),(L),0.0,(L),(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",2.6,3.9,(D),(D),(D),(D),(D),(D),(D),3.1,4.1,(D),(D),(D),18.8,20.5,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",28.5,5.8,3.6,4.1,4.3,(D),5.9,5.2,4.7,3.8,2.3,(D),3.0,3.6,4.8,6.1,(NA)
 "25260" ,"Hanford-Corcoran, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",62.0,59.9,62.2,60.2,68.2,61.1,62.0,69.2,66.8,66.6,88.4,92.8,92.7,110.9,99.2,97.2,88.7
