GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "31080" ,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",534377.6,560811.5,595620.2,637514.2,676588.1,724447.3,753117.7,772747.1,741630.0,763975.9,782565.1,820862.6,852034.2,901979.9,967100.1,996431.8,1043735.1
 "31080" ,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",481783.1,505145.3,537126.1,576533.9,612838.5,657999.2,682376.6,698669.7,668052.5,689508.5,707092.8,744967.2,774740.3,820544.4,880767.3,906317.0,950815.5
 "31080" ,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",755.1,748.7,838.5,820.9,819.1,918.4,809.8,739.6,647.2,559.2,480.1,463.3,439.6,409.3,393.8,440.4,449.2
 "31080" ,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",623.4,640.0,732.5,662.9,658.9,779.9,635.7,571.0,473.0,424.8,339.1,316.0,283.5,242.8,237.3,252.7,(NA)
 "31080" ,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",131.6,108.7,106.0,158.0,160.2,138.5,174.0,168.6,174.1,134.5,140.9,147.2,156.1,166.6,156.5,187.6,(NA)
 "31080" ,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1942.0,2180.1,2980.0,4352.5,4529.2,5149.4,6449.7,9843.2,7508.1,8263.9,9205.8,9500.4,8994.1,8109.9,3978.4,2830.8,2008.9
 "31080" ,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",1647.8,1869.3,2713.7,4059.2,4192.7,4654.9,5919.9,9271.9,6967.6,7726.4,8696.3,(D),8475.3,7527.1,3660.6,2576.8,(NA)
 "31080" ,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",171.3,171.6,142.5,140.1,146.4,213.8,243.5,246.7,284.8,224.4,154.1,(D),139.8,188.4,112.2,46.3,(NA)
 "31080" ,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",122.8,139.2,123.7,153.3,190.1,280.7,286.4,324.6,255.7,313.1,355.4,(D),378.9,394.3,205.7,207.7,(NA)
 "31080" ,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",4373.5,5959.6,6354.9,6413.4,6764.8,8005.3,8146.1,7568.6,7958.0,7205.0,7795.0,6985.3,7017.6,7419.2,7501.6,7327.4,7226.5
 "31080" ,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",16526.9,16816.4,19465.6,24743.3,28234.7,30484.5,30008.9,24681.8,19577.1,17153.7,16958.4,20950.9,23570.0,25060.6,28209.4,30680.9,32402.2
