GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",4212.4,4763.2,5069.0,5068.1,5058.4,5213.9,5321.0,5146.7,4980.9,5060.3,5129.8,5083.9,5259.3,5570.9,5930.1,6590.5,7036.9
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3476.2,3983.0,4237.1,4193.7,4152.7,4290.8,4329.8,4109.2,3966.3,4035.8,4087.1,4036.0,4193.2,4434.3,4731.0,5386.0,5796.5
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),63.3,60.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),108.0
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",22.7,23.4,28.3,28.5,27.8,20.1,12.2,19.0,28.8,51.2,54.0,61.2,37.9,45.0,49.2,38.6,(NA)
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),35.5,40.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),26.0,36.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),54.4
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.4,0.1,0.2,1.7,0.3,4.0,1.7,3.7,0.0,(L),0.2,0.9,0.4,9.2,10.5,8.0,(NA)
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(L),(L),(L),0.2,0.7,(NA)
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",114.0,170.2,118.8,116.9,104.6,120.8,135.5,148.1,147.4,175.8,186.1,161.3,172.7,193.3,173.9,186.0,203.6
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",286.3,304.7,336.4,342.8,373.5,429.5,444.6,387.3,347.4,319.5,304.6,259.4,281.1,283.8,319.8,349.8,389.2
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",233.0,221.0,217.8,213.0,230.0,245.3,235.3,216.1,207.1,209.1,211.3,194.1,212.1,221.5,227.4,245.8,271.7
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",151.1,(D),179.1,172.1,190.2,191.3,193.6,178.5,148.5,154.9,159.0,157.8,175.8,191.9,194.2,199.8,219.9
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",56.0,67.1,72.1,74.3,83.8,71.6,67.0,65.2,45.2,53.9,56.5,(D),60.5,68.8,65.0,67.2,(NA)
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",24.6,35.1,35.8,46.5,43.6,44.9,48.4,43.0,39.9,41.3,41.8,(D),43.9,46.3,52.4,52.9,(NA)
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(L),(L),(L),0.1,(L),0.0,0.0,(D),(D),(D),(D),(D),(D),(NA)
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",17.3,15.7,15.6,15.3,17.7,17.9,17.5,13.6,12.4,11.9,12.1,(D),19.9,22.8,21.4,22.5,(NA)
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",12.4,8.5,9.1,4.4,10.3,18.4,22.1,22.1,17.2,17.2,19.1,(D),15.3,15.0,15.4,15.7,(NA)
 "39820" ,"Redding, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",6.4,(D),(D),(D),(D),(D),(D),(D),(D),9.1,8.5,(D),12.0,12.8,13.3,14.9,(NA)
