GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "40900" ,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",70617.1,75879.6,82843.8,88430.9,94471.3,97965.5,99460.9,98548.3,95084.9,94312.3,97496.4,100242.1,104463.4,109222.5,116188.9,121202.4,126352.4
 "40900" ,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",53918.8,58345.0,64255.5,68622.8,73740.0,75949.2,75587.8,72994.6,69786.0,69005.4,70886.4,73402.9,76707.5,79791.7,85511.6,89993.5,94136.0
 "40900" ,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",446.2,435.4,497.2,555.2,520.8,544.2,673.5,707.9,765.3,688.1,745.6,(D),845.3,824.6,791.9,804.8,753.4
 "40900" ,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",323.8,318.0,353.6,401.8,368.1,372.4,497.9,532.8,580.6,478.8,554.4,578.6,619.5,583.6,516.1,480.9,(NA)
 "40900" ,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",122.5,117.4,143.7,153.4,152.6,171.8,175.6,175.1,184.6,209.3,191.2,(D),225.9,241.0,275.8,323.9,(NA)
 "40900" ,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",124.7,122.7,132.4,144.7,161.0,162.3,191.5,235.3,166.9,123.0,123.9,121.8,113.1,121.4,114.1,109.9,133.2
 "40900" ,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),33.5,(NA)
 "40900" ,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),40.1,52.1,(NA)
 "40900" ,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),31.9,(D),24.4,(NA)
 "40900" ,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1185.2,1184.9,(D),(D)
