GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",7580.5,8455.6,9241.8,10413.2,10483.1,10424.8,11029.8,11066.8,10892.2,11135.8,11413.1,12054.4,13094.5,13412.2,14221.7,14664.0,15206.6
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",6360.2,7145.1,7866.4,8980.7,9004.6,8858.7,9326.0,9265.4,9124.1,9379.5,9554.5,10158.0,11172.2,11419.3,12112.1,12435.5,12904.0
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",279.1,283.2,280.2,269.9,277.5,313.5,303.1,201.9,279.1,357.0,354.9,458.4,502.1,393.6,477.3,409.3,408.3
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",206.4,205.4,212.7,193.7,194.5,211.4,198.6,111.6,196.2,263.7,242.3,333.5,376.0,252.4,295.3,222.0,(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",72.7,77.9,67.5,76.2,83.0,102.1,104.5,90.4,82.9,93.2,112.6,124.9,126.1,141.2,181.9,187.3,(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",10.9,14.0,22.0,30.8,40.9,39.4,39.5,55.3,48.6,325.3,43.3,34.9,39.7,32.8,26.2,21.5,25.0
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",3.7,3.8,8.3,14.1,(D),(D),(D),(D),31.0,(D),(D),(D),(D),(D),(D),(D),(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",6.5,8.8,(D),13.0,14.7,17.7,16.0,14.3,16.8,(D),11.8,(D),10.7,(D),(D),10.8,(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.7,1.3,(D),3.7,(D),(D),(D),(D),0.8,(D),(D),(D),(D),(D),(D),(D),(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",368.3,603.8,715.4,1027.0,851.4,948.4,1069.5,1181.9,1333.5,(D),(D),(D),(D),1169.4,1223.8,1213.4,1202.6
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",608.4,643.6,684.3,773.3,856.0,896.1,870.9,810.3,687.3,625.3,657.1,697.1,767.3,813.5,904.3,1029.2,1077.2
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",621.5,568.4,660.1,705.2,842.3,794.5,812.1,1039.2,903.2,886.1,911.5,1078.8,1186.1,1230.0,1183.0,1115.6,1116.0
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",274.6,289.1,291.0,280.5,262.1,274.3,304.5,(D),(D),290.0,313.8,349.7,383.5,378.6,379.5,351.9,353.2
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",5.2,4.0,4.3,4.4,3.9,3.5,4.0,4.2,1.3,1.4,3.7,(D),4.6,1.1,0.8,1.5,(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",14.5,14.7,15.0,17.0,17.8,15.9,17.8,15.6,14.3,12.3,12.5,(D),22.0,20.4,21.6,16.9,(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",2.4,2.4,2.5,4.9,5.1,4.1,1.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",38.1,31.5,36.0,36.9,41.4,46.3,59.0,60.4,54.0,68.1,69.8,(D),69.6,79.1,93.7,86.5,(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",60.7,53.0,52.5,66.8,63.9,74.2,83.7,81.0,72.5,64.5,79.6,(D),84.9,88.0,88.2,76.8,(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",34.1,48.4,42.6,35.9,20.8,16.9,22.1,29.2,27.1,31.4,31.5,(D),70.6,59.6,43.3,41.8,(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",28.9,30.6,29.7,31.7,35.1,40.3,43.2,49.7,46.8,50.8,51.7,(D),53.3,59.7,66.2,64.8,(NA)
 "42020" ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
