GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3134.9,3445.3,3674.6,3851.0,3950.4,4175.0,4356.6,4661.5,4851.9,4805.2,4957.9,4931.6,5222.9,5368.8,5544.4,5758.6,6024.1
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2185.9,2425.0,2598.6,2708.1,2745.6,2896.8,2997.2,3271.1,3452.1,3372.0,3430.5,3280.3,3497.7,3561.1,3766.3,3996.8,4226.3
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",257.1,239.8,311.3,310.8,239.2,304.5,323.2,516.4,629.3,567.7,603.2,416.8,565.5,439.1,408.8,430.8,426.1
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",198.4,181.5,245.2,250.8,188.1,238.6,250.6,446.2,556.0,483.6,520.6,335.2,488.0,345.2,299.5,310.7,(NA)
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",58.7,58.4,66.1,60.0,51.1,65.9,72.6,70.2,73.4,84.0,82.6,81.6,77.5,93.9,109.3,120.1,(NA)
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",17.0,20.9,27.3,32.7,33.1,45.0,64.9,82.1,102.2,95.6,97.0,85.3,52.1,43.5,36.2,47.9,88.8
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),13.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18.4,(D),13.6,28.1,(NA)
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),15.2,(D),(D),(D),(D),(D),(D),(D),(NA)
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),120.3,(D),(D),(D),(D),(D)
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",172.5,146.6,165.3,190.5,211.8,236.6,264.3,242.8,234.1,220.7,185.7,151.0,167.4,186.0,249.1,277.0,314.1
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",210.9,185.0,198.4,196.0,195.5,206.4,220.5,207.9,211.9,212.1,217.7,227.9,242.7,233.1,265.9,276.1,270.0
 "49700" ,"Yuba City, CA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),82.6,87.5,97.3,102.7,100.5,(D),(D),(D),(D),96.1,101.3,114.0,114.0,130.3,133.0,140.1
