GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",78.666,86.316,91.045,95.261,98.779,104.196,100.689,101.094,100.000,99.393,101.699,99.093,103.369,105.600,110.767,113.360,114.199
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",76.188,84.405,89.885,94.953,99.229,105.666,100.725,100.662,100.000,99.516,102.508,99.963,105.220,107.429,112.970,115.519,116.408
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",53.946,69.653,82.504,81.267,88.341,100.433,78.118,71.546,100.000,104.707,100.842,89.764,85.062,91.329,103.436,112.300,97.634
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",44.080,64.278,83.211,79.668,88.798,96.331,66.444,59.905,100.000,103.112,95.245,77.380,70.766,77.846,93.560,101.982,(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",76.705,81.824,79.943,85.113,86.491,109.425,107.874,101.183,100.000,108.444,115.838,127.165,128.812,132.583,136.320,147.167,(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",75.289,77.695,42.942,37.336,29.443,29.899,36.841,33.736,100.000,69.676,69.656,80.350,74.786,92.887,106.342,129.488,192.224
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",735.267,472.645,(D),357.477,320.026,(D),(D),145.830,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",38.929,64.179,70.548,79.957,66.495,70.689,89.909,105.655,100.000,108.485,111.802,104.421,107.466,109.220,107.181,114.041,112.382
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",119.294,119.701,132.283,148.692,163.632,172.544,165.200,143.172,100.000,82.514,84.140,86.485,92.945,95.027,106.346,113.348,119.750
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",82.318,82.337,88.323,94.958,96.669,104.138,107.461,110.188,100.000,91.454,85.890,87.267,86.358,87.295,92.893,90.570,93.858
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",108.750,107.536,(D),(D),115.435,127.410,134.303,(D),100.000,94.791,99.116,97.452,102.321,100.070,102.673,98.368,100.455
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",112.030,127.292,131.940,110.666,132.256,126.222,130.714,111.316,100.000,111.951,126.837,(D),106.556,108.300,121.729,140.315,(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",109.866,122.532,125.220,141.694,142.168,122.132,111.035,115.682,100.000,89.124,68.879,(D),72.608,83.357,112.752,119.143,(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",355.311,289.798,183.830,277.912,257.210,214.689,116.790,123.163,100.000,43.118,31.924,(D),0.000,(D),(D),(D),(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",231.280,193.803,200.013,181.948,186.092,199.429,208.095,157.466,100.000,92.464,102.134,(D),112.745,126.113,128.281,129.119,(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",105.589,93.610,95.609,120.686,108.819,124.707,130.334,117.300,100.000,99.573,120.214,(D),128.738,114.384,108.127,97.922,(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),67.609,(D),78.072,99.653,112.508,104.428,178.597,100.000,77.787,36.323,(D),36.881,40.823,42.108,36.337,(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",420.992,400.995,387.354,364.221,383.797,351.879,292.227,207.323,100.000,83.246,84.587,(D),93.442,75.585,98.422,101.643,(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",176.135,195.995,199.995,149.574,130.519,134.866,114.840,111.850,100.000,97.246,106.287,(D),79.350,74.148,66.842,64.612,(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",71.250,71.863,(D),(D),89.425,95.019,96.868,(D),100.000,90.190,81.071,83.502,80.603,82.637,89.245,87.605,91.291
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",73.066,72.829,76.641,82.823,82.388,90.503,95.009,90.670,100.000,88.371,82.271,84.687,82.107,83.990,92.538,88.428,(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",29,"322","    Paper manufacturing",58.201,66.149,69.306,74.856,78.910,101.494,90.259,94.270,100.000,96.144,106.403,(D),94.797,92.709,101.888,103.882,(NA)
 "23420" ,"Fresno, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",30,"323","    Printing and related support activities",83.922,95.788,104.671,103.524,95.704,92.133,105.946,108.947,100.000,113.396,100.907,(D),80.397,81.909,85.375,96.569,(NA)
