GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41500" ,"Salinas, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",94.192,98.009,102.857,96.092,98.669,102.151,96.491,96.960,100.000,99.556,95.517,97.102,101.692,102.828,111.081,115.142,116.432
 "41500" ,"Salinas, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",95.465,99.556,105.502,96.974,99.880,103.883,95.896,95.967,100.000,98.923,93.097,95.274,101.805,103.346,113.279,118.174,119.800
 "41500" ,"Salinas, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",69.365,80.318,82.383,66.032,76.814,91.916,69.502,66.819,100.000,94.831,71.968,73.270,83.442,89.601,112.406,125.102,128.731
 "41500" ,"Salinas, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",73.889,87.530,87.317,59.935,76.477,90.025,57.317,55.582,100.000,87.130,54.262,51.536,64.700,69.539,96.932,110.232,(NA)
 "41500" ,"Salinas, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",57.254,62.079,69.073,80.826,77.066,95.479,98.397,92.946,100.000,111.306,114.925,127.999,127.976,137.242,149.450,161.881,(NA)
 "41500" ,"Salinas, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",48.294,57.932,49.594,49.010,59.735,53.334,56.262,41.438,100.000,60.590,65.928,72.553,65.484,69.792,77.762,89.486,86.026
 "41500" ,"Salinas, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41500" ,"Salinas, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41500" ,"Salinas, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41500" ,"Salinas, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",65.351,105.694,111.497,110.492,92.777,89.088,96.101,108.018,100.000,107.386,128.457,161.603,163.087,143.025,142.020,145.485,148.292
