GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",83.923,87.221,92.213,100.619,105.832,105.936,105.962,105.505,100.000,100.547,103.868,105.025,108.216,109.588,110.664,114.573,117.092
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",82.362,86.389,92.408,102.687,109.661,109.426,109.062,107.539,100.000,100.405,104.255,105.865,110.331,111.858,112.922,117.289,120.606
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",86.623,96.695,97.249,91.619,110.718,116.012,81.133,75.748,100.000,99.012,60.886,59.866,60.271,53.391,50.820,56.463,50.393
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",82.377,92.850,92.929,85.831,106.400,110.163,75.943,71.868,100.000,98.076,56.964,49.253,46.619,41.103,48.107,54.981,(NA)
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",132.304,139.235,144.429,155.334,157.984,178.411,138.408,115.553,100.000,107.878,104.215,191.284,231.524,207.501,104.479,103.261,(NA)
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",119.620,132.829,140.854,161.621,157.988,185.850,131.054,127.455,100.000,74.903,89.958,113.740,154.747,168.694,114.258,105.097,125.564
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),469.498,(D),132.262,354.366,559.409,342.982,593.794,100.000,(D),(D),(D),1030.383,1145.672,540.543,(D),(NA)
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),120.996,(D),186.333,152.449,160.532,109.359,75.934,100.000,68.175,71.078,(D),74.292,79.483,66.627,75.804,(NA)
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",0.000,0.000,191.980,134.204,129.586,147.715,314.226,196.076,100.000,(D),(D),(D),342.014,360.194,320.136,(D),(NA)
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",44.110,72.960,81.575,93.184,79.158,80.717,84.304,99.650,100.000,100.613,105.488,104.224,98.655,77.494,72.564,73.302,65.560
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",159.686,160.053,176.337,213.394,220.305,207.643,178.355,136.317,100.000,97.166,89.736,98.750,108.088,108.991,118.635,127.080,127.983
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",70.658,68.113,75.536,81.000,87.562,95.415,102.430,107.487,100.000,102.908,102.174,110.822,112.641,121.584,133.004,128.784,132.938
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",59.311,62.125,68.474,69.583,77.922,80.603,90.895,98.232,100.000,97.057,99.955,101.988,106.112,109.727,118.611,121.663,124.230
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",133.033,143.708,121.655,124.946,152.104,167.216,150.292,122.549,100.000,103.765,70.743,(D),62.063,67.718,69.970,80.057,(NA)
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",171.144,185.617,183.952,224.637,228.524,216.369,176.098,145.443,100.000,102.973,98.641,(D),82.222,78.051,81.770,82.800,(NA)
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",107.638,94.291,83.461,72.046,74.786,76.455,67.587,86.660,100.000,82.684,78.498,(D),119.661,91.171,101.248,96.955,(NA)
 "41740" ,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",167.605,156.873,156.775,153.400,156.669,131.237,141.557,129.590,100.000,106.754,119.000,(D),117.955,120.520,111.878,118.885,(NA)
