GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",85.956,80.763,83.103,84.464,89.372,96.248,104.980,105.784,100.000,107.743,115.079,119.211,125.759,135.113,150.014,159.002,171.032
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",85.252,79.535,81.934,83.492,88.754,96.129,105.396,106.108,100.000,108.535,116.673,121.334,128.344,138.202,154.054,163.445,176.392
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",109.285,105.141,98.298,86.228,97.549,109.094,68.916,61.241,100.000,88.135,53.107,49.392,56.543,59.456,96.041,97.153,(NA)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",158.877,136.501,123.103,116.608,116.967,115.759,127.722,127.772,100.000,81.622,84.374,96.507,106.565,110.489,127.552,144.910,144.794
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",62.223,56.598,63.392,63.872,77.876,85.478,101.618,101.759,100.000,110.658,121.031,136.366,140.168,153.274,163.393,173.981,190.986
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",93.772,110.515,93.205,82.111,91.983,87.155,96.041,86.990,100.000,105.638,151.295,(D),(D),140.797,(D),143.307,(NA)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",177.348,127.523,(D),132.990,138.163,150.010,159.141,139.329,100.000,129.911,(D),(D),118.603,133.532,129.728,129.055,(NA)
 "41940" ,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",219.714,169.538,171.960,167.349,(D),154.902,146.207,133.063,100.000,123.550,145.486,(D),144.008,(D),151.762,145.419,(NA)
