GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",85.061,88.026,90.817,95.038,98.200,98.357,98.332,98.220,100.000,97.500,98.921,100.169,102.850,104.676,111.246,110.323,112.118
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",82.950,86.178,89.466,94.575,97.958,98.109,97.793,97.530,100.000,97.149,98.563,100.008,103.150,104.772,112.342,111.462,113.513
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",49.761,60.849,63.375,55.695,65.534,74.336,56.875,58.387,100.000,86.089,61.838,64.794,75.286,82.255,113.345,117.944,109.018
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",47.177,58.101,57.839,47.363,61.642,69.712,47.274,49.675,100.000,82.366,50.875,50.089,61.420,64.700,101.458,105.270,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",62.162,74.306,88.759,95.036,83.051,95.096,101.540,97.608,100.000,101.538,114.110,138.089,141.942,168.134,175.831,184.083,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",135.454,90.131,70.749,66.754,81.035,92.301,96.276,86.615,100.000,82.623,104.692,117.337,110.120,107.742,156.064,123.168,191.081
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",132.335,64.685,41.611,35.186,66.148,72.245,69.097,63.448,100.000,70.496,(D),(D),110.548,(D),217.494,153.494,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",155.913,146.426,149.413,150.908,122.056,118.652,152.219,109.968,100.000,74.332,(D),(D),93.482,(D),91.884,103.544,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",187.422,142.364,102.079,101.198,88.954,139.186,138.426,152.606,100.000,142.056,140.675,(D),125.581,122.560,68.007,44.609,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",57.553,92.634,97.420,118.263,93.455,99.491,104.224,104.498,100.000,70.620,70.140,62.213,61.404,58.493,64.883,71.160,68.513
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",84.335,80.863,94.416,110.926,115.740,105.983,108.559,102.057,100.000,98.549,96.031,73.232,74.115,71.263,80.399,83.441,80.184
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",72.655,66.001,80.961,79.382,91.023,91.355,91.691,105.633,100.000,94.307,95.864,101.285,105.657,103.995,111.194,113.633,113.418
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",65.602,61.534,75.961,70.071,85.436,91.534,90.309,100.993,100.000,96.468,102.027,106.899,109.290,105.643,111.211,113.407,118.269
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",143.480,182.778,160.347,193.747,193.780,181.117,119.482,139.781,100.000,91.272,146.792,(D),133.836,127.489,82.389,77.380,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",145.567,164.900,143.382,165.932,120.522,92.189,89.633,109.667,100.000,77.582,66.317,(D),43.125,40.771,45.039,42.125,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),74.310,100.000,65.120,57.334,(D),(D),(D),(D),(D),(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",150.833,150.207,147.465,119.834,110.027,113.313,121.302,117.143,100.000,120.299,129.595,(D),122.682,126.022,124.484,122.592,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",49.187,40.457,50.045,61.067,54.699,66.955,79.025,99.865,100.000,93.299,152.169,(D),123.180,100.049,104.551,109.024,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",28.566,29.721,37.638,44.422,59.838,61.480,86.949,95.807,100.000,100.869,101.293,(D),128.460,126.411,133.394,131.533,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",105.751,89.616,88.710,103.493,112.651,121.730,110.498,132.052,100.000,79.804,71.258,(D),79.004,72.691,71.665,76.494,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",87.337,100.927,101.221,102.324,96.411,106.126,125.662,141.561,100.000,99.753,99.068,(D),97.519,97.465,104.932,99.755,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",98.708,113.423,126.028,92.512,122.510,157.494,72.510,102.022,100.000,93.497,88.494,(D),89.012,88.142,84.190,88.946,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",96.740,79.060,94.838,111.069,108.628,90.507,95.553,118.669,100.000,88.444,80.076,86.687,95.491,98.359,109.098,112.034,100.626
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",78.997,89.349,82.429,74.576,77.286,96.108,101.780,89.576,100.000,83.540,84.240,94.717,98.220,112.497,120.186,118.875,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",30,"323","    Printing and related support activities",120.862,141.158,133.903,123.261,105.624,99.393,98.938,107.125,100.000,107.710,127.190,(D),117.626,78.114,85.125,90.109,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),151.570,167.125,65.615,65.016,177.288,100.000,50.391,25.207,(D),27.509,41.055,28.963,27.068,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",32,"325","    Chemical manufacturing",47.075,43.061,62.970,113.994,94.272,112.546,130.740,106.442,100.000,118.467,117.436,(D),147.925,136.331,167.001,174.102,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",33,"326","    Plastics and rubber products manufacturing",211.402,199.410,213.185,153.703,164.009,157.116,92.978,95.649,100.000,100.767,95.806,(D),96.621,74.352,92.861,94.647,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",34,"42","  Wholesale trade",107.321,99.360,92.032,101.429,103.402,114.038,126.009,118.688,100.000,90.365,101.635,105.084,121.015,126.814,148.619,148.511,158.483
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",35,"44-45","  Retail trade",95.771,104.126,111.938,121.205,118.641,118.558,111.300,102.836,100.000,99.825,100.753,103.713,107.719,111.797,112.381,112.439,114.116
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",36,"48-49","  Transportation and warehousing",68.544,64.625,67.785,87.982,99.149,110.037,101.725,98.602,100.000,106.164,100.389,102.909,107.304,115.090,111.136,100.438,103.128
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",37,"481","   Air transportation",26.314,24.000,37.088,48.427,68.075,99.694,90.968,99.583,100.000,119.594,45.666,(D),46.956,49.784,51.429,39.233,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",38,"482","   Rail transportation",162.034,134.296,134.815,151.209,154.103,157.155,148.149,137.058,100.000,84.827,96.756,98.320,93.748,103.373,96.251,89.487,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",39,"483","   Water transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",40,"484","   Truck transportation",55.203,55.534,49.440,81.869,110.621,124.075,106.156,94.371,100.000,112.730,135.078,(D),170.288,172.080,145.664,142.381,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",41,"485","   Transit and ground passenger transportation",73.374,87.321,83.631,93.564,107.440,114.844,113.420,113.612,100.000,93.219,93.643,(D),110.569,168.381,182.192,115.968,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",42,"486","   Pipeline transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",43,"487-488, 492","   Other transportation and support activities",103.471,99.356,(D),(D),(D),113.629,(D),(D),100.000,101.511,109.175,104.269,(D),(D),(D),106.525,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",44,"493","   Warehousing and storage",62.657,65.444,66.350,60.809,80.656,81.177,79.100,88.179,100.000,88.094,85.529,(D),80.215,87.239,79.831,89.271,(NA)
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",45,"51","  Information",63.471,67.826,73.626,84.799,102.237,85.945,102.660,101.684,100.000,111.075,111.351,144.066,145.872,135.206,168.200,165.808,197.443
 "42200" ,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",46,"511","   Publishing industries (except Internet)",(D),60.039,(D),(D),(D),(D),102.943,102.008,100.000,122.842,131.975,(D),150.729,151.743,174.289,191.006,(NA)
