GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",83.832,85.708,89.287,97.053,104.996,105.253,110.053,106.421,100.000,110.195,115.917,106.236,111.940,120.445,119.708,129.601,121.007
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",83.685,85.169,89.146,98.521,107.938,108.080,113.084,107.771,100.000,113.458,120.542,108.774,115.792,126.499,124.571,136.023,124.539
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),84.748,92.599,122.673,155.000,110.801,142.866,116.354,100.000,133.842,149.379,128.270,155.096,203.294,169.337,196.784,173.645
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",142.683,103.563,113.022,169.834,221.613,123.112,180.282,135.131,100.000,157.023,178.675,146.186,191.487,271.625,195.069,236.990,(NA)
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),63.878,69.956,65.266,72.986,93.838,93.685,92.838,100.000,107.147,114.861,110.192,109.755,112.816,133.237,144.347,(NA)
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),79.828,128.057,132.922,130.668,140.049,131.722,143.168,100.000,99.089,118.248,139.966,127.320,128.508,98.408,95.324,133.557
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",0.000,0.000,(D),(D),162.796,(D),152.596,727.336,100.000,567.600,2225.885,(D),(D),14380.629,(D),(D),(NA)
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",43.772,73.401,78.124,95.525,86.806,92.951,100.862,104.546,100.000,110.955,112.380,101.953,95.930,97.016,106.345,110.685,107.789
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",118.536,119.217,124.124,129.166,144.458,153.508,145.839,121.747,100.000,92.176,85.596,70.536,70.122,71.087,83.839,95.637,97.026
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",68.816,69.207,72.034,75.778,77.877,88.392,93.479,94.607,100.000,89.042,90.248,89.991,96.715,104.156,105.736,105.469,109.667
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",112.307,113.952,120.637,119.419,(D),(D),123.428,117.754,100.000,89.368,100.592,104.173,111.525,118.418,123.648,132.930,140.808
 "47300" ,"Visalia-Porterville, CA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",84.413,97.322,106.430,100.678,121.342,102.962,101.704,106.699,100.000,82.277,106.669,(D),92.900,99.017,100.511,119.464,(NA)
