GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "12540" ,"Bakersfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",21808.9,23796.5,23895.5,24880.1,26199.6,27770.3,28692.6,28388.8,29943.5,30720.2,30220.5,32090.5,32417.4,33648.4,33756.4,34046.4,33594.1
 "12540" ,"Bakersfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",16258.8,18110.9,18373.7,19343.9,20559.2,22113.3,22861.3,22537.1,24142.1,24903.4,24340.1,26132.0,26578.3,27720.0,27624.3,27629.6,27156.0
 "12540" ,"Bakersfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1385.0,1872.8,1591.5,2040.7,2515.2,2577.9,2477.5,2008.0,2302.6,2832.3,2568.5,2666.2,2926.5,3194.9,3485.1,3961.5,3567.4
 "12540" ,"Bakersfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",806.1,1238.6,981.3,1375.5,1768.7,1562.4,1493.8,1108.7,1484.4,1957.7,1578.4,1523.3,1692.2,1857.8,2155.8,2512.7,(NA)
 "12540" ,"Bakersfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",592.2,645.4,624.9,655.9,718.3,1005.0,979.2,925.1,818.2,868.3,1034.7,1241.3,1333.2,1441.2,1423.9,1560.9,(NA)
 "12540" ,"Bakersfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",3426.5,4207.8,3121.4,2651.3,2376.9,2942.6,3358.1,2990.8,4429.3,4847.1,4438.7,5690.9,5317.0,5318.5,5135.8,4244.0,4484.4
 "12540" ,"Bakersfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",1929.7,3144.6,2133.3,1763.0,1564.0,1944.9,2241.7,1867.8,3422.0,3811.9,3335.6,(D),4184.3,4154.8,4366.8,3650.5,(NA)
 "12540" ,"Bakersfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",488.5,454.8,413.4,405.5,342.3,337.6,322.4,291.5,286.5,197.3,210.2,(D),240.3,256.3,229.3,267.2,(NA)
 "12540" ,"Bakersfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",1049.0,727.5,671.0,591.8,568.8,754.3,877.4,980.4,720.8,834.2,948.9,(D),894.3,917.9,593.5,395.0,(NA)
 "12540" ,"Bakersfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",345.0,532.3,614.7,620.0,569.4,594.2,663.4,664.9,652.5,691.7,707.9,616.5,551.8,506.8,450.5,493.5,511.3
