GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17020" ,"Chico, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",5844.7,6105.0,6199.6,6326.1,6408.6,6437.6,6489.5,6505.5,6476.3,6473.7,6310.4,6084.7,6449.4,6334.8,6680.3,6879.9,6996.2
 "17020" ,"Chico, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",4747.6,4976.6,5063.6,5195.3,5266.0,5278.6,5313.4,5329.6,5375.1,5399.9,5208.3,5003.4,5376.7,5243.8,5522.3,5691.2,5794.0
 "17020" ,"Chico, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",134.7,151.5,184.1,(D),224.7,196.0,179.8,240.6,383.0,355.6,298.3,271.8,380.8,212.9,264.5,370.1,328.5
 "17020" ,"Chico, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",93.8,112.6,141.1,130.4,174.7,137.8,124.8,188.7,330.8,304.7,248.1,215.8,318.5,152.1,199.7,311.5,(NA)
 "17020" ,"Chico, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",46.2,44.5,49.5,(D),57.5,65.8,62.7,54.5,52.2,50.9,52.2,62.4,64.1,71.3,76.3,77.1,(NA)
 "17020" ,"Chico, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",8.2,8.0,5.2,(D),4.4,16.0,10.2,20.5,4.2,4.5,15.6,(D),31.5,33.3,24.5,7.5,9.7
 "17020" ,"Chico, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.6,0.2,0.2,1.8,0.9,4.3,1.5,9.5,0.0,0.9,10.0,10.7,22.1,19.6,13.6,0.0,(NA)
 "17020" ,"Chico, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",8.8,9.2,5.9,(D),3.7,(D),(D),(D),(D),(D),(D),(D),4.9,10.1,8.1,5.4,(NA)
 "17020" ,"Chico, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,(L),(L),(D),(D),(D),(D),(D),(D),0.1,0.1,0.1,0.2,0.0,(NA)
 "17020" ,"Chico, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",88.4,144.0,154.8,182.8,137.3,161.6,211.7,260.1,(D),258.8,262.3,238.5,247.3,244.4,249.1,254.4,247.8
 "17020" ,"Chico, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",410.7,419.3,451.0,482.0,486.5,456.3,436.1,378.4,374.7,389.8,352.9,272.4,305.9,302.9,339.9,350.2,362.1
