GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",7227.0,7249.3,7277.8,7325.2,7695.3,7978.5,7911.3,7954.5,7742.7,7371.1,7357.1,7857.0,8176.5,8627.6,9198.0,9478.0,9749.5
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",6474.4,6467.3,6465.3,6507.4,6860.7,7129.8,7027.0,7033.5,6837.9,6472.0,6445.0,6979.4,7280.2,7718.6,8241.6,8476.1,8735.2
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),348.1,299.0,214.9,170.5,301.1,272.5,184.0,(D),(D),(D),(D),(D),(D)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",215.3,254.7,180.5,122.2,231.2,154.9,80.9,52.5,173.1,133.4,67.1,192.1,176.8,170.4,99.1,130.2,(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),109.7,141.1,137.6,124.5,128.0,140.1,123.7,(D),(D),(D),(D),(D),(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),22.8,25.0,24.8,32.8,38.5,28.1,12.7,7.9,(D),(D),(D),(D),(D)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),0.1,3.0,11.4,(D),(D),(D),(D),(D),4.3,0.7,2.8,1.4,(L),0.0,(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(D),(D),(D),(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",31.5,53.2,(D),63.0,49.7,53.0,64.5,87.5,75.0,80.4,84.4,(D),69.8,68.9,63.8,69.4,73.5
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",591.8,598.1,544.2,541.3,490.3,484.4,469.1,441.2,376.1,384.7,318.1,302.5,388.6,466.8,546.6,526.4,534.0
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1635.5,1643.4,1605.0,1774.9,1771.7,2018.6,2155.4,2127.3,2033.0,1776.6,1685.4,1899.4,2096.3,2293.3,2543.5,2505.0,2639.6
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",208.5,214.5,206.8,206.6,216.6,212.5,227.2,212.2,176.3,164.0,160.5,(D),158.1,162.4,146.9,153.6,155.6
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",10.4,10.9,10.8,9.2,11.0,9.9,12.4,14.9,14.7,15.4,19.0,(D),18.4,20.9,20.0,20.8,(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",85.3,81.9,80.4,97.4,117.1,99.5,95.7,80.8,60.6,50.3,43.1,(D),57.8,53.8,48.5,50.4,(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",47.2,56.2,48.2,34.4,13.2,20.4,22.0,20.7,22.0,23.4,24.2,(D),13.8,13.0,12.7,12.8,(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",2.8,3.5,1.8,1.8,4.3,3.6,6.3,8.7,10.9,12.7,15.8,(D),17.6,23.1,21.4,22.7,(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",15.2,12.8,13.4,10.8,11.7,14.8,23.8,19.1,13.0,23.0,23.2,(D),25.0,(D),(D),(D),(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",22.6,22.4,25.7,(D),(D),(D),(D),33.9,(D),(D),(D),(D),(L),(L),(D),(D),(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34900" ,"Napa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.1,0.5,0.4,(D),(D),(L),0.0,(NA)
