GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",32050.6,32895.4,35446.3,37319.8,37914.4,39170.7,40154.5,38355.3,38635.6,40790.9,41665.5,42433.3,43341.2,43526.8,43945.0,43561.4,43400.1
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",27100.7,27799.2,30208.0,32097.2,32768.9,33992.9,34947.9,33095.7,33502.9,35697.7,36621.1,37522.0,38511.7,38631.7,38888.3,38383.3,38212.5
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",747.5,898.6,835.7,920.0,1017.7,1445.9,1046.5,1124.1,1580.8,1646.8,1135.7,1151.8,1249.0,1215.1,1646.2,1767.9,1473.6
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",482.3,631.3,565.8,669.8,775.8,1131.4,757.4,827.6,1271.5,1319.9,830.3,821.0,929.2,902.9,1309.8,1421.4,(NA)
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",284.3,288.0,290.8,261.8,246.8,319.2,305.4,306.8,309.3,327.1,325.9,360.9,335.0,327.3,344.5,356.2,(NA)
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",219.7,237.6,155.8,155.4,188.8,280.3,354.8,310.5,829.1,713.4,1074.9,1472.9,1182.9,962.6,652.1,554.3,1059.2
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",116.0,158.3,63.1,64.9,100.1,177.8,253.4,207.4,704.7,589.9,914.0,(D),1056.8,832.8,585.3,499.2,(NA)
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",71.8,81.4,79.8,73.3,60.8,61.8,57.3,42.9,44.6,37.7,39.6,(D),33.0,39.7,26.9,29.3,(NA)
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",74.5,50.2,52.9,54.6,57.2,64.5,58.8,79.7,79.8,88.3,117.3,(D),71.9,80.4,36.2,24.0,(NA)
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",193.8,306.1,358.6,427.0,382.7,390.5,424.7,445.5,431.2,468.3,510.3,463.2,487.0,433.3,414.9,410.7,391.1
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1759.3,1702.5,1777.2,1795.2,1850.4,1851.1,1836.3,1751.9,1687.0,1618.4,1520.1,1355.5,1454.0,1475.1,1558.4,1526.7,1558.0
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",6332.2,5072.9,6294.2,7423.2,7708.2,8090.0,9134.3,7684.6,7595.6,8540.2,8049.3,8877.3,9748.1,9918.5,10174.2,9621.2,9098.5
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",1954.2,1892.7,2105.7,2303.4,2495.8,2620.1,2973.1,2812.9,2613.0,2600.0,2617.8,(D),2542.8,2552.6,2652.7,2585.0,2679.9
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",3.5,3.0,2.8,3.4,6.9,7.9,9.1,10.1,12.4,8.8,11.4,(D),10.7,12.6,13.9,16.6,(NA)
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",81.4,85.5,89.6,100.1,111.4,108.8,128.9,123.7,101.2,112.5,(D),(D),115.0,121.9,102.6,94.0,(NA)
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",42.4,40.5,43.4,44.4,36.0,38.4,26.9,29.2,39.2,29.7,34.4,(D),36.3,26.0,23.9,22.9,(NA)
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",319.8,285.6,303.9,359.1,353.0,353.5,356.4,314.9,278.2,295.4,319.2,(D),311.4,339.6,335.8,339.7,(NA)
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",367.0,377.0,386.0,596.0,555.2,679.6,793.4,466.6,315.0,339.6,397.6,(D),387.6,374.4,371.2,340.2,(NA)
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",602.8,555.7,691.3,641.2,768.0,794.4,1001.7,1198.6,1282.9,1238.8,1243.0,(D),1211.2,1184.0,1343.3,1315.8,(NA)
 "37100" ,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",130.4,146.8,146.2,249.5,253.8,233.0,174.3,190.4,123.9,132.2,118.5,(D),145.7,147.5,131.3,145.5,(NA)
