GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",92120.4,98427.3,106256.3,116684.3,124722.3,127862.2,124997.7,121763.7,112026.1,112877.5,115863.1,114558.5,119237.3,122296.5,128572.9,132105.2,135985.9
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",73399.7,79130.6,86282.8,96193.8,103235.8,105743.0,101958.7,97813.6,88472.8,89707.3,92757.5,91863.1,96504.5,99103.1,104664.8,107113.5,110841.3
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1207.9,1135.8,1245.3,1231.5,1266.2,1146.9,1131.0,963.0,796.8,894.9,969.5,719.4,598.1,807.0,898.1,845.6,753.0
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",921.6,858.2,953.0,949.3,990.1,826.2,851.8,710.0,541.0,621.8,689.1,448.5,358.0,545.3,623.0,586.8,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",277.3,269.5,282.5,271.0,261.3,312.5,267.0,245.4,255.8,272.4,275.7,295.8,267.5,275.9,288.4,271.4,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",286.2,290.7,311.2,310.6,323.0,617.9,746.1,1054.0,1024.6,756.4,805.3,841.2,764.8,757.4,758.4,560.0,1015.2
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),3.4,3.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",462.4,473.1,500.5,476.4,444.0,390.4,345.7,271.9,308.4,212.2,191.8,(D),(D),288.8,280.5,180.3,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),2.0,6.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",1113.0,1793.5,1791.5,2193.4,2127.3,2293.0,2464.2,2386.0,2237.6,2305.8,2384.0,2119.0,2068.0,1971.8,1949.5,1965.7,1848.2
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",8412.3,8374.5,9286.6,10484.4,11590.3,11204.8,10199.0,7940.5,5452.4,4916.2,5996.2,6319.7,6931.0,7235.3,7959.4,8380.8,8589.3
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",9061.6,8956.9,9952.4,11918.2,12944.8,14253.1,13384.1,13071.0,9845.4,9707.0,9299.5,9421.8,9801.9,10155.4,10717.0,10998.7,11264.3
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",5531.8,5659.0,6212.4,6878.8,7261.0,7675.0,7187.0,6713.3,5547.5,5382.6,5661.7,5768.2,5865.7,6112.9,6305.7,6389.3,6511.0
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",307.8,351.8,393.1,379.8,423.1,400.5,384.5,305.0,217.9,198.5,194.5,(D),(D),214.4,211.8,220.1,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",690.4,757.0,772.3,980.6,1049.0,917.5,900.8,710.1,499.8,479.9,468.4,(D),502.8,515.4,589.9,651.9,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",398.9,417.1,435.0,454.6,427.8,397.5,257.6,318.3,339.0,266.1,300.5,(D),392.9,367.3,400.3,499.2,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",1340.8,1250.2,1383.2,1432.4,1551.5,1530.6,1525.7,1328.7,992.9,1052.1,1187.6,(D),1199.5,1368.0,1367.7,1312.1,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",470.3,429.5,460.9,617.3,556.7,624.5,686.9,672.7,549.6,534.9,579.7,(D),615.8,626.2,621.3,593.6,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",179.2,198.8,252.9,315.5,410.3,440.2,568.5,660.3,546.4,595.6,561.5,(D),747.0,762.3,740.6,715.7,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",251.1,277.4,298.8,263.1,264.9,310.7,297.5,310.9,252.1,268.9,245.1,(D),(D),231.4,256.4,275.5,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),668.4,791.4,798.0,(D),(D),(D),(D),(D),(D),(D),438.1,510.8,637.7,682.2,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),393.6,373.6,441.8,(D),(D),(D),(D),(D),(D),193.1,(D),201.2,332.4,339.2,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",500.2,512.5,504.2,528.9,574.9,600.2,491.9,425.2,312.6,300.1,283.3,(D),322.0,323.0,331.3,315.6,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",636.4,705.6,786.7,866.8,872.3,1115.0,1009.1,1199.2,1339.4,1211.0,1143.9,(D),1014.1,1004.0,819.3,787.0,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",3435.2,3161.8,3604.7,4998.9,5673.5,6589.6,6208.2,6362.9,4297.9,4323.0,3672.7,3692.4,3959.7,4071.2,4424.1,4613.1,4753.3
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",795.3,762.8,826.5,913.3,921.7,1194.5,1209.0,1123.7,1169.4,1095.0,1058.6,1110.7,1130.0,1123.3,1336.3,1401.6,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),84.6,(D),(D),(D),65.8,66.4,61.2,51.1,54.2,57.2,(D),(D),(D),(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26.8,32.7,(D),(D),(D),(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",186.2,204.8,201.8,230.9,229.9,287.2,273.2,233.6,276.1,205.6,210.0,(D),200.0,206.9,244.9,257.0,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",170.2,194.0,205.6,267.3,296.9,291.4,315.1,229.8,194.5,181.2,163.1,(D),194.2,197.2,186.6,176.3,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",328.9,139.3,251.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),142.3,217.3,253.7,(D),(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",926.0,747.1,1017.5,1502.7,1244.7,1602.4,1712.7,1505.4,1385.4,1692.5,1424.4,(D),1565.6,1557.4,1460.0,1500.5,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",833.9,859.6,884.4,1040.1,1005.8,971.0,996.8,860.1,779.0,792.8,734.9,(D),732.9,728.2,915.7,970.3,(NA)
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",5197.3,5583.6,6248.8,6273.5,7044.4,7738.5,8043.1,7547.9,6137.4,6483.7,6865.3,7047.1,7986.5,8550.5,10907.4,9384.5,9991.3
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",8287.5,9101.1,9928.7,10762.0,11282.2,11544.6,10960.9,10596.4,11024.0,11709.6,11634.9,11107.6,11566.6,11180.8,11581.7,12109.5,12666.1
 "40140" ,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",3454.0,3426.0,3792.8,4716.4,5191.7,5718.7,5792.8,5837.3,5258.0,5530.6,5906.5,5857.4,6297.9,6599.5,6990.4,7398.0,7867.7
