GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42100" ,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",10794.9,10774.4,10640.1,10297.7,10235.4,10361.7,10097.7,10099.0,10287.7,10763.7,10331.9,10148.1,10733.2,11009.9,11370.3,11417.2,11480.9
 "42100" ,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",9298.6,9232.9,9078.0,8737.0,8673.9,8790.8,8503.2,8475.6,8726.6,9259.2,8809.5,8627.2,9192.4,9407.7,9749.4,9733.7,9777.1
 "42100" ,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",445.5,433.7,466.5,419.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),495.9
 "42100" ,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",415.9,412.2,447.5,395.8,441.3,433.6,333.3,351.8,562.9,569.0,362.3,318.3,339.7,338.3,478.3,556.0,(NA)
 "42100" ,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",27.6,19.1,16.2,22.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42100" ,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",21.8,(D),14.1,14.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8.1
 "42100" ,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),0.1,0.1,0.7,0.1,(L),0.1,0.5,0.0,(L),0.3,2.2,3.4,3.0,2.7,1.0,(NA)
 "42100" ,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42100" ,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,(D),(D),(D),0.0,0.0,(L),0.0,(D),(D),(L),(L),(L),(L),(L),(NA)
 "42100" ,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),83.0,(D),85.9,(D),(D),(D),(D),(D),(D),(D)
