GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42220" ,"Santa Rosa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",20858.1,21427.7,21142.6,21091.9,21422.0,21512.3,21247.5,21457.9,20206.3,20312.5,20751.4,20508.8,21475.6,22391.2,23863.7,24209.6,24984.9
 "42220" ,"Santa Rosa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",18421.6,18918.8,18649.3,18624.7,18962.3,19048.4,18763.0,18982.8,17810.1,18017.4,18437.1,18256.4,19201.2,20030.0,21421.2,21706.9,22460.1
 "42220" ,"Santa Rosa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",339.7,346.1,251.5,252.7,391.6,312.6,257.6,205.5,375.3,301.2,234.8,(D),422.4,465.5,478.6,492.3,451.1
 "42220" ,"Santa Rosa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",277.7,284.5,176.3,175.1,302.8,208.7,164.6,119.4,275.7,193.5,130.6,275.4,282.9,314.9,327.5,331.7,(NA)
 "42220" ,"Santa Rosa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",61.2,60.7,76.8,79.7,84.8,103.1,94.1,90.5,99.5,109.0,110.4,(D),128.9,138.0,137.5,146.2,(NA)
 "42220" ,"Santa Rosa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",224.1,264.2,118.8,110.3,84.4,71.1,61.1,49.8,26.3,18.3,21.2,(D),84.9,92.0,68.7,52.6,69.0
 "42220" ,"Santa Rosa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),4.5,7.9,0.0,(L),0.4,5.4,(D),(D),(D),(D),(NA)
 "42220" ,"Santa Rosa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",70.9,60.9,57.9,58.6,46.3,43.8,(D),(D),(D),(D),20.6,(D),(D),(D),(D),(D),(NA)
 "42220" ,"Santa Rosa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),0.1,(L),0.1,0.1,0.2,(NA)
 "42220" ,"Santa Rosa, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",198.9,247.0,253.9,295.8,250.4,(D),342.1,419.6,351.0,365.0,349.0,(D),321.4,(D),316.2,332.9,331.9
