GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",18754.1,19611.8,20670.9,21410.7,21948.8,22019.3,21381.7,20841.6,21018.6,20955.1,20528.7,20697.6,20985.2,21187.1,22363.8,23058.2,23556.2
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",15620.7,16317.3,17322.3,18057.9,18560.4,18599.6,17876.3,17275.2,17590.1,17655.4,17272.6,17510.5,17827.4,17945.2,18758.4,19348.0,19812.8
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",877.0,937.4,1033.2,995.1,1135.4,1055.6,1014.7,967.3,1203.0,1015.9,930.6,1176.8,1164.8,1301.1,1232.9,1385.5,1257.7
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",667.8,713.4,781.5,731.1,881.9,779.0,708.2,661.4,866.7,671.6,612.1,808.3,815.1,938.6,830.1,976.6,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",204.7,219.1,246.7,264.3,243.0,269.9,309.2,310.8,336.3,347.2,321.9,357.2,331.8,332.1,382.7,389.5,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",77.1,85.3,80.3,83.3,65.8,73.2,61.7,40.3,33.6,21.8,22.1,23.0,20.4,25.2,27.5,34.8,31.4
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",10.8,17.4,11.3,11.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",64.8,66.0,68.7,70.8,66.2,(D),57.4,36.6,25.0,15.6,14.8,(D),19.3,16.7,17.3,26.1,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",2.0,1.3,1.6,1.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",280.0,450.6,491.9,534.7,422.3,445.1,488.9,524.7,484.3,527.9,554.9,523.3,528.7,505.1,491.4,526.2,526.6
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1730.0,1706.0,1861.2,2008.1,2278.6,1998.4,1308.9,1028.0,1263.8,1271.8,815.1,610.8,825.2,795.9,927.4,983.8,1030.9
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",2270.1,1955.3,2071.4,2012.0,2121.7,2316.6,2457.6,2321.7,2233.0,2042.8,2186.5,2095.7,2015.5,2018.0,2117.8,2132.0,2104.4
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",897.4,844.1,871.9,882.5,921.8,946.1,974.5,901.8,699.6,667.4,710.8,675.1,703.9,743.5,740.4,785.4,848.2
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",91.5,93.8,83.8,63.4,73.9,71.8,79.9,76.7,57.7,52.1,(D),(D),50.0,49.9,56.5,68.0,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",179.0,185.6,186.6,213.3,228.9,191.2,200.9,183.4,142.9,149.8,150.9,(D),158.7,155.8,142.6,156.6,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",27.7,27.3,28.5,25.1,25.9,24.8,14.5,16.2,17.0,14.7,19.3,(D),22.9,17.6,18.8,21.3,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",291.0,245.8,267.0,271.2,253.7,285.2,300.5,278.6,189.4,189.1,218.6,(D),211.6,264.9,255.6,260.8,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",45.1,42.4,39.9,36.4,33.3,36.2,40.1,46.9,54.5,53.3,56.9,(D),40.5,45.5,34.6,44.0,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",12.9,11.0,11.9,14.1,16.8,22.9,30.1,28.5,29.6,26.0,21.2,(D),29.0,29.6,36.5,36.1,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",10.3,9.5,10.3,9.7,10.6,16.9,21.3,22.4,17.1,16.5,16.8,(D),(D),(D),(D),(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",92.9,(D),(D),114.3,125.5,154.4,162.9,118.4,66.8,58.1,49.1,(D),(D),(D),(D),(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",26.0,(D),(D),23.2,28.9,29.0,38.6,51.1,53.4,47.8,(D),42.5,41.8,39.0,38.0,37.5,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",70.6,68.8,75.0,78.3,93.8,89.1,68.2,49.5,31.4,27.2,24.6,(D),35.6,35.1,41.1,48.5,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",57.0,56.3,52.7,45.0,34.5,31.1,28.6,35.5,39.8,33.2,30.7,(D),46.8,29.0,24.6,23.0,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",1370.9,1100.2,1190.5,1116.2,1186.9,1363.7,1479.0,1417.2,1533.4,1375.8,1475.9,1420.6,1314.5,1279.5,1380.6,1352.1,1265.7
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",705.9,633.8,671.8,664.0,734.5,887.9,1006.9,916.6,1089.0,982.7,1050.7,992.7,911.9,870.2,917.5,883.8,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),9.1,(D),5.7,(D),(D),(D),(D),2.3,(D),(D),(D),(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),11.2,(D),2.6,12.0,21.2,41.4,29.1,11.6,(D),3.8,3.5,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",90.9,113.5,103.5,120.1,103.2,144.4,139.3,121.9,121.7,93.0,98.8,(D),53.8,56.6,94.3,94.4,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",40.1,47.2,38.3,20.6,20.2,20.3,19.0,17.8,21.2,18.4,22.3,(D),23.2,22.5,27.2,27.3,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.2,(D),(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",124.8,119.3,135.6,142.1,101.7,116.0,133.1,126.5,126.3,130.5,137.3,(D),175.6,175.7,196.1,198.5,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",106.1,104.8,99.9,111.7,107.8,107.2,172.2,159.7,141.2,122.9,120.9,(D),117.3,124.0,110.7,99.6,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",867.8,941.0,1052.4,1079.0,1284.4,1445.2,1498.5,1508.6,1303.1,1368.6,1534.5,1484.6,1617.3,1683.9,1773.4,1793.1,1850.7
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",1647.5,1787.6,1826.8,1895.9,1907.2,1883.1,1779.4,1585.9,1505.4,1526.0,1556.4,1577.0,1673.2,1698.2,1736.7,1844.5,1924.3
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",1047.4,1062.7,1176.4,1132.7,1216.0,1307.1,1234.1,1285.9,1167.4,1265.5,1352.8,1365.5,1410.8,1434.5,1718.2,1779.5,1960.5
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",37,"481","   Air transportation",(D),(D),0.0,0.0,(D),(D),(D),(D),(D),(D),3.0,0.5,(D),(D),(D),(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",38,"482","   Rail transportation",61.2,51.8,54.4,57.2,60.2,61.3,60.2,59.9,45.1,41.5,48.6,57.5,55.0,58.6,(D),(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",39,"483","   Water transportation",3.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.6,(D),(D),(D),(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",40,"484","   Truck transportation",527.8,516.5,536.9,514.2,531.0,585.0,559.5,555.7,508.8,532.2,602.1,(D),650.9,650.8,690.8,660.1,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",41,"485","   Transit and ground passenger transportation",51.8,64.2,73.8,51.2,55.2,60.5,55.9,54.7,49.1,49.2,53.5,(D),54.0,52.8,64.0,63.3,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",42,"486","   Pipeline transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),65.1,(D),22.2,16.4,12.7,11.4,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",43,"487-488, 492","   Other transportation and support activities",(D),145.1,152.0,157.7,(D),(D),(D),(D),(D),(D),(D),152.2,157.8,161.8,163.2,177.4,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",44,"493","   Warehousing and storage",249.3,248.9,314.6,349.4,390.4,406.1,361.3,410.1,391.3,398.3,431.3,(D),480.1,489.8,776.5,867.4,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",45,"51","  Information",350.3,346.7,365.2,424.9,451.7,435.7,492.2,488.6,513.8,546.5,484.0,496.4,431.2,425.1,410.7,413.1,424.7
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",46,"511","   Publishing industries (except Internet)",(D),58.0,65.4,(D),(D),(D),101.4,85.1,73.1,65.8,66.5,(D),107.9,92.0,66.0,65.4,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",47,"512","   Motion picture and sound recording industries",16.1,(D),(D),11.7,5.8,6.2,12.4,8.8,27.4,21.1,21.3,(D),24.3,52.7,59.4,59.6,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",275.3,247.9,258.5,(D),(D),(D),(D),(D),408.6,(D),(D),(D),(D),278.5,284.2,(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",49,"518, 519","   Data processing, hosting, and other information services",(D),(D),(D),19.0,15.8,17.9,(D),(D),4.7,(D),(D),(D),(D),0.9,0.5,(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",2748.5,3056.4,3164.2,3435.0,3358.5,3282.4,3160.6,3054.5,3614.0,3814.9,3554.9,3738.8,3735.3,3446.3,3509.2,3467.6,3551.9
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",547.5,681.1,691.7,567.4,593.1,646.8,657.7,660.3,793.2,618.8,596.8,581.2,592.4,586.4,581.2,529.3,540.4
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",248.3,336.1,353.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),243.3,(D),231.1,216.2,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",53,"523","    Securities, commodity contracts, and other financial investments and related activities",(D),55.9,51.3,41.8,41.5,44.0,24.4,9.2,41.6,33.2,27.6,(D),29.6,(D),20.4,(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",54,"524","    Insurance carriers and related activities",208.1,217.3,256.6,237.8,250.9,277.8,300.7,279.7,293.1,259.3,267.2,(D),322.9,320.5,331.5,288.3,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",55,"525","    Funds, trusts, and other financial vehicles",(D),59.5,30.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),1.7,10.2,7.1,(D),(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",56,"53","   Real estate and rental and leasing",2206.8,2369.8,2469.0,2895.2,2785.8,2644.6,2506.6,2394.9,2820.8,3201.3,2961.9,3164.7,3149.0,2861.3,2931.3,2948.1,3021.8
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",57,"531","    Real estate",2013.1,2133.3,2214.7,2674.4,2568.7,2402.5,2296.7,2191.4,2614.5,2987.2,2738.8,(D),2845.6,2627.2,2698.8,2697.9,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets",194.5,238.7,257.1,220.1,216.7,243.2,209.9,203.8,206.3,214.2,223.0,(D),304.5,233.8,231.6,251.6,(NA)
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",59,"54, 55, 56","  Professional and business services",1200.6,1293.7,1391.2,1428.0,1302.3,1289.8,1273.9,1318.5,1233.1,1230.3,1190.2,1223.2,1170.8,1235.7,1297.8,1400.9,1403.2
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",60,"54","   Professional, scientific, and technical services",464.6,542.9,624.0,668.5,527.9,525.0,504.8,520.5,455.5,454.3,452.5,453.9,464.1,485.7,504.7,532.4,507.0
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",64,"55","   Management of companies and enterprises",278.5,284.6,268.7,228.8,208.6,161.0,141.0,169.3,169.8,166.5,185.5,193.6,182.6,202.4,205.7,214.7,214.3
 "44700" ,"Stockton-Lodi, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",65,"56","   Administrative and support and waste management and remediation services",479.0,489.9,517.4,541.5,572.0,604.6,627.5,628.6,607.9,609.6,551.4,575.3,522.4,546.2,585.7,651.7,680.0
