GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",13119.3,13614.2,14357.2,14378.4,14806.1,14620.8,14702.7,15358.2,15646.9,15075.5,14415.8,16675.2,17517.3,17582.7,17147.6,17401.1,17818.1
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",9728.3,10071.2,10878.0,10938.6,11450.7,11273.6,11305.0,11954.0,12299.1,11729.8,11093.4,13356.3,14211.4,14237.9,13814.2,13896.7,14307.7
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",102.5,135.4,126.0,108.5,143.0,153.8,129.8,151.2,156.9,122.3,113.0,126.4,116.2,128.4,160.1,156.4,138.8
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",75.0,107.4,97.4,84.7,122.5,133.3,113.7,134.6,138.8,103.4,94.5,103.8,95.8,106.9,137.8,133.2,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",30.2,31.2,31.8,26.5,21.5,21.5,17.1,16.6,18.1,19.1,18.9,23.9,21.6,22.3,22.7,23.5,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",154.1,87.7,138.9,99.7,80.8,74.2,62.6,65.5,49.7,40.0,49.3,58.6,54.3,57.4,53.9,53.0,39.0
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),5.1,8.3,5.9,(D),(D),(D),(D),(D),(D),(D),(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",30.1,14.4,28.1,25.6,24.9,41.7,(D),(D),(D),19.2,(D),(D),(D),(D),(D),15.9,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),216.2,258.8,216.9,209.1,199.0,232.5,236.9,275.8,269.2,256.9,270.7,272.2,270.5,287.1,289.4
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1128.0,1115.8,1085.0,1093.7,1083.4,1052.3,1018.1,1007.8,916.1,997.4,1145.7,1052.5,1067.5,982.0,1032.8,1109.9,1126.2
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",2085.2,1824.3,1919.0,2081.3,2423.4,2492.3,2914.0,3201.6,3758.4,3040.1,2323.7,2884.4,3600.1,3795.7,3738.2,3996.8,4105.8
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",416.5,388.6,400.6,374.2,406.2,408.3,468.9,443.6,404.0,396.6,385.4,408.6,456.9,432.5,436.4,443.2,461.4
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",11.5,13.1,13.8,12.8,14.0,12.0,9.2,5.6,4.6,2.1,2.8,(D),13.1,12.3,12.8,14.4,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",46.5,48.1,50.8,62.3,66.2,65.0,64.8,55.4,42.9,48.5,50.4,(D),47.4,48.0,52.8,50.3,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",5.9,5.4,6.2,1.6,2.2,2.1,1.6,5.1,5.5,3.0,1.0,(D),(D),(D),(D),(D),(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",174.4,157.1,174.9,161.9,167.4,168.5,180.2,171.8,146.0,140.3,137.7,(D),160.7,183.9,184.3,184.1,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",60.7,51.8,48.0,55.2,66.3,63.2,83.4,71.9,55.0,52.8,54.7,(D),52.2,51.3,52.5,53.7,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",3.6,6.0,4.1,1.8,2.6,3.6,5.2,10.3,15.4,15.2,13.5,(D),18.1,(D),16.3,18.2,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",12.3,13.4,15.8,16.1,17.3,20.8,21.0,22.4,15.8,13.4,14.4,(D),14.2,16.1,16.3,15.2,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.7,0.1,0.5,(D),(D),(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),32.4,30.8,31.5,32.6,31.0,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",38.2,28.4,17.1,14.1,15.1,19.2,17.5,11.4,7.8,9.1,8.2,(D),(D),9.9,10.7,12.4,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",24.6,28.5,31.5,25.4,29.6,31.3,56.2,59.2,73.0,74.1,63.3,(D),104.3,57.8,51.7,59.7,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",1673.5,1434.2,1518.6,1716.3,2029.3,2095.9,2458.1,2763.1,3354.4,2647.7,1958.2,2481.1,3135.4,3342.1,3283.5,3529.3,3620.7
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),289.5,(D),(D),(D),294.1,309.6,322.5,333.3,302.8,281.3,287.4,298.0,351.6,359.6,347.6,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),11.6,(D),(D),7.0,(D),1.9,2.1,2.5,2.4,3.7,4.9,5.3,5.8,6.0,(D),(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",2.0,1.2,0.1,(D),(D),(D),(D),(D),(D),(D),(D),1.5,(D),0.9,1.2,1.4,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",3.4,(D),(D),(D),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",5.5,7.2,7.8,7.1,7.8,6.1,6.3,5.4,5.3,3.8,4.2,(D),5.1,4.0,3.8,3.6,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",539.7,344.3,451.3,642.8,687.2,855.7,1185.3,1224.6,1944.0,1558.7,1264.7,(D),2764.0,2707.5,2514.1,2707.9,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",36.6,25.0,32.0,40.0,44.1,38.7,55.3,50.7,50.0,50.9,43.5,(D),29.6,26.6,31.9,32.1,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",454.9,506.5,572.6,597.9,639.8,674.8,677.3,664.5,607.6,657.2,671.1,638.3,672.8,713.7,803.9,733.2,719.0
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",1227.9,1317.0,1428.9,1324.3,1283.0,1272.5,1110.2,1037.3,961.7,957.2,950.7,931.8,1003.9,1042.6,1146.0,1193.5,1236.1
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",(D),(D),243.3,332.2,367.5,395.6,357.3,379.1,353.6,327.0,325.4,311.1,263.8,277.8,297.6,316.4,336.0
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",37,"481","   Air transportation",0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",38,"482","   Rail transportation",3.2,2.8,3.0,(D),3.3,3.3,3.3,3.3,2.7,2.2,2.5,3.0,2.9,3.0,3.0,2.8,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",39,"483","   Water transportation",(D),(D),4.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",40,"484","   Truck transportation",112.9,110.8,93.5,94.3,109.7,124.1,122.7,116.6,104.8,109.5,115.2,(D),119.2,118.9,125.9,134.7,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",41,"485","   Transit and ground passenger transportation",46.3,33.1,36.2,67.6,85.1,88.0,73.3,76.0,74.5,73.4,84.4,(D),30.3,30.2,32.3,36.2,(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",42,"486","   Pipeline transportation",4.2,9.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "46700" ,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),60.9,66.9,(D),(D),(D),(D),70.5,62.5,52.9,55.9,62.8,77.4,83.7,(NA)
